config None
max_frames 200
eval_frames 400
batch_size 200
max_seg_per_spk 100
nDataLoaderThread 5
augment False
test_interval 10
max_epoch 500
trainfunc angleproto
optimizer adam
scheduler steplr
lr 0.001
lr_decay 0.95
weight_decay 0
hard_prob 0.5
hard_rank 10
margin 1
scale 15
nPerSpeaker 2
nClasses 4953
initial_model 
save_path exps/scratch_vgg_model
train_list lists/train_list.txt
test_list lists/veri_test.txt
train_path data/voxceleb2
test_path data/voxceleb1
musan_path data/musan_split
rir_path data/RIRS_NOISES/simulated_rirs
n_mels 64
log_input False
model VGGVox
encoder_type TAP
nOut 512
eval False
Model has 3769282 parametersIT 1, LR 0.001000, TEER/TAcc 0.64, TLOSS 5.298443
IT 2, LR 0.001000, TEER/TAcc 1.03, TLOSS 5.246657
IT 3, LR 0.001000, TEER/TAcc 1.56, TLOSS 5.031927
IT 4, LR 0.001000, TEER/TAcc 1.81, TLOSS 4.938161
IT 5, LR 0.001000, TEER/TAcc 1.86, TLOSS 4.886843
IT 6, LR 0.001000, TEER/TAcc 2.28, TLOSS 4.821230
IT 7, LR 0.001000, TEER/TAcc 2.06, TLOSS 4.765668
IT 8, LR 0.001000, TEER/TAcc 2.56, TLOSS 4.744232
IT 9, LR 0.001000, TEER/TAcc 2.56, TLOSS 4.707463
IT 10, LR 0.001000, TEER/TAcc 2.89, TLOSS 4.700305, VEER 24.8621, MINEER 24.8621
IT 11, LR 0.000950, TEER/TAcc 3.50, TLOSS 4.646463
IT 12, LR 0.000950, TEER/TAcc 3.17, TLOSS 4.676736
IT 13, LR 0.000950, TEER/TAcc 3.72, TLOSS 4.634696
IT 14, LR 0.000950, TEER/TAcc 3.56, TLOSS 4.595072
IT 15, LR 0.000950, TEER/TAcc 3.72, TLOSS 4.610333
IT 16, LR 0.000950, TEER/TAcc 3.33, TLOSS 4.570007
IT 17, LR 0.000950, TEER/TAcc 3.78, TLOSS 4.551021
IT 18, LR 0.000950, TEER/TAcc 4.39, TLOSS 4.532411
IT 19, LR 0.000950, TEER/TAcc 4.39, TLOSS 4.518646
IT 20, LR 0.000950, TEER/TAcc 4.33, TLOSS 4.500895, VEER 22.1686, MINEER 22.1686
IT 21, LR 0.000902, TEER/TAcc 5.03, TLOSS 4.481479
IT 22, LR 0.000902, TEER/TAcc 4.86, TLOSS 4.450768
IT 23, LR 0.000902, TEER/TAcc 5.06, TLOSS 4.461864
IT 24, LR 0.000902, TEER/TAcc 5.08, TLOSS 4.409822
IT 25, LR 0.000902, TEER/TAcc 5.47, TLOSS 4.403837
IT 26, LR 0.000902, TEER/TAcc 5.78, TLOSS 4.429320
IT 27, LR 0.000902, TEER/TAcc 5.58, TLOSS 4.395315
IT 28, LR 0.000902, TEER/TAcc 5.56, TLOSS 4.390413
IT 29, LR 0.000902, TEER/TAcc 6.00, TLOSS 4.383065
IT 30, LR 0.000902, TEER/TAcc 6.72, TLOSS 4.350749, VEER 21.8187, MINEER 21.8187
IT 31, LR 0.000857, TEER/TAcc 6.03, TLOSS 4.327063
IT 32, LR 0.000857, TEER/TAcc 6.97, TLOSS 4.328889
IT 33, LR 0.000857, TEER/TAcc 6.17, TLOSS 4.326763
IT 34, LR 0.000857, TEER/TAcc 7.42, TLOSS 4.255719
IT 35, LR 0.000857, TEER/TAcc 6.31, TLOSS 4.278661
IT 36, LR 0.000857, TEER/TAcc 6.39, TLOSS 4.272792
IT 37, LR 0.000857, TEER/TAcc 7.89, TLOSS 4.258051
IT 38, LR 0.000857, TEER/TAcc 6.44, TLOSS 4.228067
IT 39, LR 0.000857, TEER/TAcc 8.03, TLOSS 4.244136
IT 40, LR 0.000857, TEER/TAcc 7.94, TLOSS 4.204711, VEER 20.2121, MINEER 20.2121
IT 41, LR 0.000815, TEER/TAcc 7.39, TLOSS 4.206493
IT 42, LR 0.000815, TEER/TAcc 8.00, TLOSS 4.183992
IT 43, LR 0.000815, TEER/TAcc 7.97, TLOSS 4.184649
IT 44, LR 0.000815, TEER/TAcc 7.72, TLOSS 4.193120
IT 45, LR 0.000815, TEER/TAcc 8.69, TLOSS 4.172716
IT 46, LR 0.000815, TEER/TAcc 8.39, TLOSS 4.180505
IT 47, LR 0.000815, TEER/TAcc 7.56, TLOSS 4.163605
IT 48, LR 0.000815, TEER/TAcc 8.75, TLOSS 4.139460
IT 49, LR 0.000815, TEER/TAcc 9.03, TLOSS 4.094282
IT 50, LR 0.000815, TEER/TAcc 8.69, TLOSS 4.095790, VEER 19.0509, MINEER 19.0509
IT 51, LR 0.000774, TEER/TAcc 8.47, TLOSS 4.101309
IT 52, LR 0.000774, TEER/TAcc 8.31, TLOSS 4.101086
IT 53, LR 0.000774, TEER/TAcc 10.92, TLOSS 4.036359
IT 54, LR 0.000774, TEER/TAcc 9.78, TLOSS 4.033077
IT 55, LR 0.000774, TEER/TAcc 9.92, TLOSS 4.049822
IT 56, LR 0.000774, TEER/TAcc 10.67, TLOSS 4.025389
IT 57, LR 0.000774, TEER/TAcc 9.56, TLOSS 4.027351
IT 58, LR 0.000774, TEER/TAcc 10.39, TLOSS 3.990253
IT 59, LR 0.000774, TEER/TAcc 10.11, TLOSS 3.997389
IT 60, LR 0.000774, TEER/TAcc 10.00, TLOSS 4.011296, VEER 19.2736, MINEER 19.0509
IT 61, LR 0.000735, TEER/TAcc 10.89, TLOSS 3.935684
IT 62, LR 0.000735, TEER/TAcc 11.03, TLOSS 3.946680
IT 63, LR 0.000735, TEER/TAcc 11.58, TLOSS 3.911731
IT 64, LR 0.000735, TEER/TAcc 11.53, TLOSS 3.937179
IT 65, LR 0.000735, TEER/TAcc 11.50, TLOSS 3.913794
IT 66, LR 0.000735, TEER/TAcc 11.33, TLOSS 3.884672
IT 67, LR 0.000735, TEER/TAcc 12.33, TLOSS 3.876990
IT 68, LR 0.000735, TEER/TAcc 12.58, TLOSS 3.856666
IT 69, LR 0.000735, TEER/TAcc 12.36, TLOSS 3.872887
IT 70, LR 0.000735, TEER/TAcc 12.08, TLOSS 3.837955, VEER 19.7349, MINEER 19.0509
IT 71, LR 0.000698, TEER/TAcc 13.44, TLOSS 3.844335
IT 72, LR 0.000698, TEER/TAcc 13.36, TLOSS 3.792815
IT 73, LR 0.000698, TEER/TAcc 12.75, TLOSS 3.787701
IT 74, LR 0.000698, TEER/TAcc 12.50, TLOSS 3.797583
IT 75, LR 0.000698, TEER/TAcc 14.11, TLOSS 3.765254
IT 76, LR 0.000698, TEER/TAcc 12.78, TLOSS 3.791553
IT 77, LR 0.000698, TEER/TAcc 13.50, TLOSS 3.757200
IT 78, LR 0.000698, TEER/TAcc 13.11, TLOSS 3.766491
IT 79, LR 0.000698, TEER/TAcc 13.28, TLOSS 3.756200
IT 80, LR 0.000698, TEER/TAcc 14.19, TLOSS 3.709112, VEER 18.8865, MINEER 18.8865
IT 81, LR 0.000663, TEER/TAcc 14.67, TLOSS 3.686411
IT 82, LR 0.000663, TEER/TAcc 14.47, TLOSS 3.685686
IT 83, LR 0.000663, TEER/TAcc 14.72, TLOSS 3.679200
IT 84, LR 0.000663, TEER/TAcc 15.14, TLOSS 3.684063
IT 85, LR 0.000663, TEER/TAcc 15.75, TLOSS 3.635836
IT 86, LR 0.000663, TEER/TAcc 15.83, TLOSS 3.623485
IT 87, LR 0.000663, TEER/TAcc 15.31, TLOSS 3.624458
IT 88, LR 0.000663, TEER/TAcc 15.89, TLOSS 3.566804
IT 89, LR 0.000663, TEER/TAcc 16.31, TLOSS 3.560776
IT 90, LR 0.000663, TEER/TAcc 16.36, TLOSS 3.569794, VEER 18.0382, MINEER 18.0382
IT 91, LR 0.000630, TEER/TAcc 16.03, TLOSS 3.559047
IT 92, LR 0.000630, TEER/TAcc 16.67, TLOSS 3.554994
IT 93, LR 0.000630, TEER/TAcc 17.58, TLOSS 3.510120
IT 94, LR 0.000630, TEER/TAcc 17.36, TLOSS 3.508809
IT 95, LR 0.000630, TEER/TAcc 17.83, TLOSS 3.511003
IT 96, LR 0.000630, TEER/TAcc 18.42, TLOSS 3.494918
IT 97, LR 0.000630, TEER/TAcc 19.17, TLOSS 3.455191
IT 98, LR 0.000630, TEER/TAcc 18.06, TLOSS 3.481222
IT 99, LR 0.000630, TEER/TAcc 18.25, TLOSS 3.433433
IT 100, LR 0.000630, TEER/TAcc 18.50, TLOSS 3.452893, VEER 18.5366, MINEER 18.0382
IT 101, LR 0.000599, TEER/TAcc 20.22, TLOSS 3.378083
IT 102, LR 0.000599, TEER/TAcc 19.11, TLOSS 3.435279
IT 103, LR 0.000599, TEER/TAcc 19.36, TLOSS 3.361434
IT 104, LR 0.000599, TEER/TAcc 19.31, TLOSS 3.370243
IT 105, LR 0.000599, TEER/TAcc 22.06, TLOSS 3.331449
IT 106, LR 0.000599, TEER/TAcc 20.69, TLOSS 3.355155
IT 107, LR 0.000599, TEER/TAcc 20.42, TLOSS 3.329806
IT 108, LR 0.000599, TEER/TAcc 21.44, TLOSS 3.307700
IT 109, LR 0.000599, TEER/TAcc 22.17, TLOSS 3.311399
IT 110, LR 0.000599, TEER/TAcc 20.58, TLOSS 3.293103, VEER 18.0541, MINEER 18.0382
IT 111, LR 0.000569, TEER/TAcc 22.31, TLOSS 3.267643
IT 112, LR 0.000569, TEER/TAcc 22.50, TLOSS 3.234200
IT 113, LR 0.000569, TEER/TAcc 23.89, TLOSS 3.214477
IT 114, LR 0.000569, TEER/TAcc 22.89, TLOSS 3.210853
IT 115, LR 0.000569, TEER/TAcc 23.72, TLOSS 3.184949
IT 116, LR 0.000569, TEER/TAcc 23.08, TLOSS 3.185766
IT 117, LR 0.000569, TEER/TAcc 23.44, TLOSS 3.169843
IT 118, LR 0.000569, TEER/TAcc 24.39, TLOSS 3.138638
IT 119, LR 0.000569, TEER/TAcc 25.00, TLOSS 3.132272
IT 120, LR 0.000569, TEER/TAcc 24.64, TLOSS 3.092647, VEER 18.1442, MINEER 18.0382
IT 121, LR 0.000540, TEER/TAcc 25.22, TLOSS 3.128513
IT 122, LR 0.000540, TEER/TAcc 25.33, TLOSS 3.086301
IT 123, LR 0.000540, TEER/TAcc 26.47, TLOSS 3.051423
IT 124, LR 0.000540, TEER/TAcc 25.03, TLOSS 3.043638
IT 125, LR 0.000540, TEER/TAcc 26.03, TLOSS 3.055922
IT 126, LR 0.000540, TEER/TAcc 24.42, TLOSS 3.065045
IT 127, LR 0.000540, TEER/TAcc 26.08, TLOSS 3.039382
IT 128, LR 0.000540, TEER/TAcc 26.64, TLOSS 2.995713
